"Story","Title","Result","Date","Stability","Duration (s)"
"Server","Test LDAP users","IGNORED","2015-09-28T11:40:54.300Z","0.0","0.0"
"Server","Test a settings send h323 and polycom","IGNORED","2015-09-28T11:33:41.081Z","0.0","0.0"
